Crimes Description,Borough,Count
,BRONX,80
,BROOKLYN,106
,MANHATTAN,116
,QUEENS,76
,STATEN ISLAND,6
ABORTION,QUEENS,1
ADMINISTRATIVE CODE,BRONX,94
ADMINISTRATIVE CODE,BROOKLYN,174
ADMINISTRATIVE CODE,MANHATTAN,64
ADMINISTRATIVE CODE,QUEENS,145
ADMINISTRATIVE CODE,STATEN ISLAND,15
ADMINISTRATIVE CODES,BROOKLYN,1
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,BRONX,18
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,BROOKLYN,12
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,MANHATTAN,8
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,QUEENS,5
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,STATEN ISLAND,3
ALCOHOLIC BEVERAGE CONTROL LAW,BRONX,10
ALCOHOLIC BEVERAGE CONTROL LAW,BROOKLYN,6
ALCOHOLIC BEVERAGE CONTROL LAW,MANHATTAN,6
ALCOHOLIC BEVERAGE CONTROL LAW,QUEENS,1
ANTICIPATORY OFFENSES,BRONX,1
ANTICIPATORY OFFENSES,MANHATTAN,1
ANTICIPATORY OFFENSES,QUEENS,1
ARSON,BRONX,109
ARSON,BROOKLYN,146
ARSON,MANHATTAN,77
ARSON,QUEENS,64
ARSON,STATEN ISLAND,21
ASSAULT 3 & RELATED OFFENSES,BRONX,5499
ASSAULT 3 & RELATED OFFENSES,BROOKLYN,6506
ASSAULT 3 & RELATED OFFENSES,MANHATTAN,4128
ASSAULT 3 & RELATED OFFENSES,QUEENS,4336
ASSAULT 3 & RELATED OFFENSES,STATEN ISLAND,953
BURGLAR'S TOOLS,BRONX,15
BURGLAR'S TOOLS,BROOKLYN,34
BURGLAR'S TOOLS,MANHATTAN,45
BURGLAR'S TOOLS,QUEENS,34
BURGLAR'S TOOLS,STATEN ISLAND,1
BURGLARY,BRONX,1205
BURGLARY,BROOKLYN,2441
BURGLARY,MANHATTAN,1242
BURGLARY,QUEENS,1511
BURGLARY,STATEN ISLAND,240
CHILD ABANDONMENT/NON SUPPORT,BRONX,4
CHILD ABANDONMENT/NON SUPPORT,BROOKLYN,3
CHILD ABANDONMENT/NON SUPPORT,MANHATTAN,1
CHILD ABANDONMENT/NON SUPPORT,QUEENS,5
CRIMINAL MISCHIEF & RELATED OF,BRONX,4004
CRIMINAL MISCHIEF & RELATED OF,BROOKLYN,5852
CRIMINAL MISCHIEF & RELATED OF,MANHATTAN,3670
CRIMINAL MISCHIEF & RELATED OF,QUEENS,4161
CRIMINAL MISCHIEF & RELATED OF,STATEN ISLAND,1229
CRIMINAL TRESPASS,BRONX,331
CRIMINAL TRESPASS,BROOKLYN,434
CRIMINAL TRESPASS,MANHATTAN,480
CRIMINAL TRESPASS,QUEENS,314
CRIMINAL TRESPASS,STATEN ISLAND,45
DANGEROUS DRUGS,BRONX,3884
DANGEROUS DRUGS,BROOKLYN,2611
DANGEROUS DRUGS,MANHATTAN,2645
DANGEROUS DRUGS,QUEENS,672
DANGEROUS DRUGS,STATEN ISLAND,268
DANGEROUS WEAPONS,BRONX,1227
DANGEROUS WEAPONS,BROOKLYN,1197
DANGEROUS WEAPONS,MANHATTAN,932
DANGEROUS WEAPONS,QUEENS,779
DANGEROUS WEAPONS,STATEN ISLAND,127
DISORDERLY CONDUCT,BRONX,7
DISORDERLY CONDUCT,BROOKLYN,8
DISORDERLY CONDUCT,MANHATTAN,8
DISORDERLY CONDUCT,QUEENS,1
DISRUPTION OF A RELIGIOUS SERV,BROOKLYN,2
DISRUPTION OF A RELIGIOUS SERV,QUEENS,1
ENDAN WELFARE INCOMP,BRONX,3
ENDAN WELFARE INCOMP,BROOKLYN,3
ENDAN WELFARE INCOMP,MANHATTAN,4
ENDAN WELFARE INCOMP,QUEENS,2
ESCAPE 3,BRONX,1
ESCAPE 3,BROOKLYN,1
ESCAPE 3,MANHATTAN,4
ESCAPE 3,STATEN ISLAND,1
FELONY ASSAULT,BRONX,2544
FELONY ASSAULT,BROOKLYN,2720
FELONY ASSAULT,MANHATTAN,1506
FELONY ASSAULT,QUEENS,1570
FELONY ASSAULT,STATEN ISLAND,273
FORGERY,BRONX,463
FORGERY,BROOKLYN,672
FORGERY,MANHATTAN,522
FORGERY,QUEENS,412
FORGERY,STATEN ISLAND,32
FRAUDS,BRONX,282
FRAUDS,BROOKLYN,369
FRAUDS,MANHATTAN,331
FRAUDS,QUEENS,246
FRAUDS,STATEN ISLAND,122
FRAUDULENT ACCOSTING,BRONX,8
FRAUDULENT ACCOSTING,BROOKLYN,3
FRAUDULENT ACCOSTING,MANHATTAN,61
FRAUDULENT ACCOSTING,QUEENS,5
GAMBLING,BRONX,67
GAMBLING,BROOKLYN,30
GAMBLING,MANHATTAN,59
GAMBLING,QUEENS,2
GRAND LARCENY OF MOTOR VEHICLE,BRONX,721
GRAND LARCENY OF MOTOR VEHICLE,BROOKLYN,1071
GRAND LARCENY OF MOTOR VEHICLE,MANHATTAN,367
GRAND LARCENY OF MOTOR VEHICLE,QUEENS,978
GRAND LARCENY OF MOTOR VEHICLE,STATEN ISLAND,107
GRAND LARCENY,BRONX,2935
GRAND LARCENY,BROOKLYN,5160
GRAND LARCENY,MANHATTAN,7096
GRAND LARCENY,QUEENS,3675
GRAND LARCENY,STATEN ISLAND,546
HARRASSMENT 2,BRONX,5809
HARRASSMENT 2,BROOKLYN,8242
HARRASSMENT 2,MANHATTAN,5237
HARRASSMENT 2,QUEENS,5227
HARRASSMENT 2,STATEN ISLAND,1834
HOMICIDE-NEGLIGENT-VEHICLE,BROOKLYN,2
INTOXICATED & IMPAIRED DRIVING,BRONX,334
INTOXICATED & IMPAIRED DRIVING,BROOKLYN,699
INTOXICATED & IMPAIRED DRIVING,MANHATTAN,355
INTOXICATED & IMPAIRED DRIVING,QUEENS,613
INTOXICATED & IMPAIRED DRIVING,STATEN ISLAND,270
JOSTLING,BRONX,1
JOSTLING,BROOKLYN,1
JOSTLING,MANHATTAN,9
JOSTLING,QUEENS,6
KIDNAPPING & RELATED OFFENSES,BRONX,15
KIDNAPPING & RELATED OFFENSES,BROOKLYN,16
KIDNAPPING & RELATED OFFENSES,MANHATTAN,7
KIDNAPPING & RELATED OFFENSES,QUEENS,10
KIDNAPPING & RELATED OFFENSES,STATEN ISLAND,2
LOITERING/GAMBLING (CARDS,DIC,4
LOITERING/GAMBLING (CARDS,DIC,4
MISCELLANEOUS PENAL LAW,BRONX,875
MISCELLANEOUS PENAL LAW,BROOKLYN,2233
MISCELLANEOUS PENAL LAW,MANHATTAN,873
MISCELLANEOUS PENAL LAW,QUEENS,1510
MISCELLANEOUS PENAL LAW,STATEN ISLAND,256
MURDER & NON-NEGL. MANSLAUGHTER,BRONX,36
MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,69
MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,17
MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,18
MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,5
NEW YORK CITY HEALTH CODE,BROOKLYN,2
NEW YORK CITY HEALTH CODE,MANHATTAN,2
NEW YORK CITY HEALTH CODE,QUEENS,1
NYS LAWS-UNCLASSIFIED FELONY,BRONX,42
NYS LAWS-UNCLASSIFIED FELONY,BROOKLYN,52
NYS LAWS-UNCLASSIFIED FELONY,MANHATTAN,115
NYS LAWS-UNCLASSIFIED FELONY,QUEENS,20
NYS LAWS-UNCLASSIFIED FELONY,STATEN ISLAND,11
NYS LAWS-UNCLASSIFIED VIOLATION,BRONX,2
NYS LAWS-UNCLASSIFIED VIOLATION,BROOKLYN,1
NYS LAWS-UNCLASSIFIED VIOLATION,MANHATTAN,2
OFF. AGNST PUB ORD SENSBLTY &,BRONX,2083
OFF. AGNST PUB ORD SENSBLTY &,BROOKLYN,2659
OFF. AGNST PUB ORD SENSBLTY &,MANHATTAN,1688
OFF. AGNST PUB ORD SENSBLTY &,QUEENS,1767
OFF. AGNST PUB ORD SENSBLTY &,STATEN ISLAND,609
OFFENSES AGAINST PUBLIC ADMINI,BRONX,1347
OFFENSES AGAINST PUBLIC ADMINI,BROOKLYN,693
OFFENSES AGAINST PUBLIC ADMINI,MANHATTAN,940
OFFENSES AGAINST PUBLIC ADMINI,QUEENS,590
OFFENSES AGAINST PUBLIC ADMINI,STATEN ISLAND,234
OFFENSES AGAINST PUBLIC SAFETY,BRONX,3
OFFENSES AGAINST PUBLIC SAFETY,BROOKLYN,4
OFFENSES AGAINST PUBLIC SAFETY,MANHATTAN,3
OFFENSES AGAINST PUBLIC SAFETY,QUEENS,3
OFFENSES AGAINST THE PERSON,BRONX,161
OFFENSES AGAINST THE PERSON,BROOKLYN,121
OFFENSES AGAINST THE PERSON,MANHATTAN,111
OFFENSES AGAINST THE PERSON,QUEENS,95
OFFENSES AGAINST THE PERSON,STATEN ISLAND,24
OFFENSES INVOLVING FRAUD,BRONX,97
OFFENSES INVOLVING FRAUD,BROOKLYN,82
OFFENSES INVOLVING FRAUD,MANHATTAN,246
OFFENSES INVOLVING FRAUD,QUEENS,78
OFFENSES INVOLVING FRAUD,STATEN ISLAND,11
OFFENSES RELATED TO CHILDREN,BRONX,30
OFFENSES RELATED TO CHILDREN,BROOKLYN,2
OFFENSES RELATED TO CHILDREN,MANHATTAN,1
OFFENSES RELATED TO CHILDREN,QUEENS,12
OTHER OFFENSES RELATED TO THEF,BRONX,126
OTHER OFFENSES RELATED TO THEF,BROOKLYN,241
OTHER OFFENSES RELATED TO THEF,MANHATTAN,181
OTHER OFFENSES RELATED TO THEF,QUEENS,136
OTHER OFFENSES RELATED TO THEF,STATEN ISLAND,21
OTHER STATE LAWS (NON PENAL LA,BRONX,49
OTHER STATE LAWS (NON PENAL LA,BROOKLYN,24
OTHER STATE LAWS (NON PENAL LA,MANHATTAN,67
OTHER STATE LAWS (NON PENAL LA,QUEENS,7
OTHER STATE LAWS (NON PENAL LA,STATEN ISLAND,6
OTHER STATE LAWS,BROOKLYN,3
PETIT LARCENY OF MOTOR VEHICLE,BRONX,4
PETIT LARCENY OF MOTOR VEHICLE,BROOKLYN,10
PETIT LARCENY OF MOTOR VEHICLE,MANHATTAN,4
PETIT LARCENY OF MOTOR VEHICLE,QUEENS,4
PETIT LARCENY OF MOTOR VEHICLE,STATEN ISLAND,3
PETIT LARCENY,BRONX,6250
PETIT LARCENY,BROOKLYN,9730
PETIT LARCENY,MANHATTAN,10144
PETIT LARCENY,QUEENS,6649
PETIT LARCENY,STATEN ISLAND,1418
POSSESSION OF STOLEN PROPERTY,BRONX,154
POSSESSION OF STOLEN PROPERTY,BROOKLYN,228
POSSESSION OF STOLEN PROPERTY,MANHATTAN,273
POSSESSION OF STOLEN PROPERTY,QUEENS,156
POSSESSION OF STOLEN PROPERTY,STATEN ISLAND,34
PROSTITUTION & RELATED OFFENSES,BRONX,21
PROSTITUTION & RELATED OFFENSES,BROOKLYN,15
PROSTITUTION & RELATED OFFENSES,MANHATTAN,3
PROSTITUTION & RELATED OFFENSES,QUEENS,3
RAPE,BRONX,155
RAPE,BROOKLYN,168
RAPE,MANHATTAN,142
RAPE,QUEENS,129
RAPE,STATEN ISLAND,21
ROBBERY,BRONX,2044
ROBBERY,BROOKLYN,2530
ROBBERY,MANHATTAN,1445
ROBBERY,QUEENS,1412
ROBBERY,STATEN ISLAND,179
SEX CRIMES,BRONX,461
SEX CRIMES,BROOKLYN,689
SEX CRIMES,MANHATTAN,721
SEX CRIMES,QUEENS,443
SEX CRIMES,STATEN ISLAND,86
THEFT OF SERVICES,BRONX,56
THEFT OF SERVICES,BROOKLYN,16
THEFT OF SERVICES,MANHATTAN,104
THEFT OF SERVICES,QUEENS,18
THEFT-FRAUD,BRONX,303
THEFT-FRAUD,BROOKLYN,515
THEFT-FRAUD,MANHATTAN,598
THEFT-FRAUD,QUEENS,352
THEFT-FRAUD,STATEN ISLAND,91
UNAUTHORIZED USE OF A VEHICLE,BRONX,94
UNAUTHORIZED USE OF A VEHICLE,BROOKLYN,198
UNAUTHORIZED USE OF A VEHICLE,MANHATTAN,72
UNAUTHORIZED USE OF A VEHICLE,QUEENS,273
UNAUTHORIZED USE OF A VEHICLE,STATEN ISLAND,64
UNLAWFUL POSS. WEAP. ON SCHOOL,MANHATTAN,1
VEHICLE AND TRAFFIC LAWS,BRONX,512
VEHICLE AND TRAFFIC LAWS,BROOKLYN,776
VEHICLE AND TRAFFIC LAWS,MANHATTAN,483
VEHICLE AND TRAFFIC LAWS,QUEENS,840
VEHICLE AND TRAFFIC LAWS,STATEN ISLAND,79
